,Alerta de Caída,Sentándose,Levantándose,Sentado,Caminando,accuracy,macro avg,weighted avg
precision,0.9615384615384616,1.0,1.0,1.0,1.0,0.9878048780487805,0.9923076923076923,0.9882739212007505
recall,1.0,1.0,1.0,0.9166666666666666,1.0,0.9878048780487805,0.9833333333333332,0.9878048780487805
f1-score,0.9803921568627451,1.0,1.0,0.9565217391304348,1.0,0.9878048780487805,0.9873827791986359,0.9876593267211443
support,25.0,16.0,16.0,12.0,13.0,0.9878048780487805,82.0,82.0
