,Alerta de Caída,Sentándose,Levantándose,Sentado,Caminando,accuracy,macro avg,weighted avg
precision,0.9375,1.0,0.7857142857142857,1.0,1.0,0.9390243902439024,0.9446428571428571,0.9483885017421603
recall,1.0,1.0,1.0,0.9230769230769231,0.75,0.9390243902439024,0.9346153846153846,0.9390243902439024
f1-score,0.967741935483871,1.0,0.88,0.96,0.8571428571428571,0.9390243902439024,0.9329769585253456,0.9378846802292906
support,30.0,12.0,11.0,13.0,16.0,0.9390243902439024,82.0,82.0
