,Alerta de Caída,Sentándose,Levantándose,Sentado,Caminando,accuracy,macro avg,weighted avg
precision,0.6375,0.45054945054945056,0.5,0.0,0.92,0.5858895705521472,0.5016098901098901,0.5367910233937842
recall,0.816,0.8541666666666666,0.5208333333333334,0.0,0.42592592592592593,0.5858895705521472,0.5233851851851852,0.5858895705521472
f1-score,0.7157894736842105,0.5899280575539568,0.5102040816326531,0.0,0.5822784810126582,0.5858895705521472,0.4796400187766957,0.5328928370127827
support,125.0,48.0,48.0,51.0,54.0,0.5858895705521472,326.0,326.0
