,Alerta de Caida,Sentandose,Levantandose,Sentado,Caminando,accuracy,macro avg,weighted avg
precision,0.990909090909091,0.8,0.9615384615384616,1.0,0.7751937984496124,0.8978102189781022,0.9055282701794329,0.916244262348489
recall,0.7517241379310344,0.9523809523809523,0.9615384615384616,0.9859154929577465,0.9900990099009901,0.8978102189781022,0.9283316109418369,0.8978102189781022
f1-score,0.8549019607843137,0.8695652173913043,0.9615384615384616,0.9929078014184397,0.8695652173913044,0.8978102189781022,0.9096957317047648,0.8973359228744312
support,145.0,42.0,52.0,71.0,101.0,0.8978102189781022,411.0,411.0
