,Alerta de Caída,Sentándose,Levantándose,Sentado,Caminando,accuracy,macro avg,weighted avg
precision,0.8666666666666667,0.8260869565217391,1.0,0.9565217391304348,0.8333333333333334,0.8834355828220859,0.8965217391304348,0.8880679292255712
recall,0.9701492537313433,0.76,0.8181818181818182,0.8461538461538461,0.8695652173913043,0.8834355828220859,0.8528100270916624,0.8834355828220859
f1-score,0.9154929577464789,0.7916666666666666,0.9,0.8979591836734694,0.851063829787234,0.8834355828220859,0.8712365275747699,0.8825220962963027
support,67.0,25.0,22.0,26.0,23.0,0.8834355828220859,163.0,163.0
