,Alerta de Caída,Sentándose,Levantándose,Sentado,Caminando,accuracy,macro avg,weighted avg
precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
support,16.0,9.0,3.0,8.0,5.0,1.0,41.0,41.0
