,Alerta de Caida,Sentandose,Levantandose,Sentado,Caminando,accuracy,macro avg,weighted avg
precision,0.9285714285714286,1.0,1.0,1.0,1.0,0.9655172413793104,0.9857142857142858,0.9679802955665024
recall,1.0,1.0,1.0,0.8,1.0,0.9655172413793104,0.96,0.9655172413793104
f1-score,0.962962962962963,1.0,1.0,0.888888888888889,1.0,0.9655172413793104,0.9703703703703702,0.9642401021711366
support,13.0,7.0,2.0,5.0,2.0,0.9655172413793104,29.0,29.0
