,Alerta de Caída,Sentándose,Levantándose,Sentado,Caminando,accuracy,macro avg,weighted avg
precision,0.9772727272727273,1.0,0.9565217391304348,1.0,1.0,0.983739837398374,0.9867588932806324,0.98427809376908
recall,1.0,0.95,1.0,0.9375,1.0,0.983739837398374,0.9775,0.983739837398374
f1-score,0.9885057471264368,0.9743589743589743,0.9777777777777777,0.967741935483871,1.0,0.983739837398374,0.9816768869494119,0.9836415340851163
support,43.0,20.0,22.0,16.0,22.0,0.983739837398374,123.0,123.0
