,Alerta de Caida,Sentandose,Levantandose,Sentado,Caminando,accuracy,macro avg,weighted avg
precision,0.9375,0.9,0.8,0.75,0.8333333333333334,0.8732394366197183,0.8441666666666666,0.8772300469483568
recall,0.9375,0.75,0.5,1.0,1.0,0.8732394366197183,0.8375,0.8732394366197183
f1-score,0.9375,0.8181818181818182,0.6153846153846154,0.8571428571428571,0.9090909090909091,0.8732394366197183,0.82746003996004,0.8668514584007542
support,32.0,12.0,8.0,9.0,10.0,0.8732394366197183,71.0,71.0
