,Alerta de Caida,Sentandose,Levantandose,Sentado,Caminando,accuracy,macro avg,weighted avg
precision,1.0,1.0,0.8888888888888888,1.0,1.0,0.9859154929577465,0.9777777777777779,0.9874804381846636
recall,0.96875,1.0,1.0,1.0,1.0,0.9859154929577465,0.99375,0.9859154929577465
f1-score,0.9841269841269841,1.0,0.9411764705882353,1.0,1.0,0.9859154929577465,0.9850606909430439,0.986217961362949
support,32.0,12.0,8.0,9.0,10.0,0.9859154929577465,71.0,71.0
