,Alerta de Caida,Sentandose,Levantandose,Sentado,Caminando,accuracy,macro avg,weighted avg
precision,1.0,1.0,1.0,0.9,1.0,0.9859154929577465,0.9800000000000001,0.9873239436619717
recall,1.0,1.0,0.875,1.0,1.0,0.9859154929577465,0.975,0.9859154929577465
f1-score,1.0,1.0,0.9333333333333333,0.9473684210526315,1.0,0.9859154929577465,0.9761403508771931,0.985816654311836
support,32.0,12.0,8.0,9.0,10.0,0.9859154929577465,71.0,71.0
