,Alerta de Caída,Sentándose,Levantándose,Sentado,Caminando,accuracy,macro avg,weighted avg
precision,0.9215686274509803,0.9166666666666666,0.6818181818181818,0.8888888888888888,0.9111111111111111,0.8734693877551021,0.8640106951871658,0.8823409363745499
recall,0.94,0.8918918918918919,0.9090909090909091,0.48484848484848486,0.9761904761904762,0.8734693877551021,0.8404043524043523,0.8734693877551021
f1-score,0.9306930693069307,0.9041095890410958,0.7792207792207793,0.6274509803921569,0.9425287356321839,0.8734693877551021,0.8368006307186292,0.8674601497509887
support,100.0,37.0,33.0,33.0,42.0,0.8734693877551021,245.0,245.0
